product_name,users,orders,total_items,reorder_rate
Organic Fat-Free Milk,302,1692,1692,0.8215130023640662
Vitamin D Organic Milk,251,1346,1346,0.8135215453194651
Organic Low Fat Milk,709,3432,3432,0.7934149184149184
Organic 2% Reduced Fat Milk,1648,7036,7036,0.7657760090960773
Large Grade AA Organic Eggs,221,904,904,0.7555309734513275
Organic Coconut Water,589,2378,2378,0.7523128679562657
Organic 2% Milk,155,617,617,0.7487844408427877
Organic 1% Milk,353,1382,1382,0.7445730824891461
Organic 1% Low Fat Milk,716,2612,2612,0.7258805513016845
Enlighten Mint Organic,145,518,518,0.7200772200772201
Unsweetened Organic Soy Milk,180,642,642,0.719626168224299
100% Lactose Free Organic 2% Reduced Fat Milk,183,646,646,0.7167182662538699
Organic Fat Free Milk,1541,5202,5202,0.7037677816224529
Organic Skim Milk,320,1068,1068,0.700374531835206
"Organic Milk Reduced Fat, 2% Milkfat",643,2145,2145,0.7002331002331003
Vitamin D Organic Whole Milk,862,2874,2874,0.7000695894224078
Organic Whole Milk with DHA Omega-3,781,2581,2581,0.6974041069352964
Organic Half & Half,5610,18418,18418,0.6954066673905962
Bag of Organic Bananas,23396,74988,74988,0.6880034138795541
Organic 2% Chocolate Milk,393,1237,1237,0.6822958771220695
Organic Lactose Free Whole Milk,396,1244,1244,0.6816720257234726
Organic Peach Oo La Long Tea,269,827,827,0.6747279322853688
Organic Baby Lettuces,367,1113,1113,0.6702605570530099
Organic Pack Peasant Bread,257,776,776,0.6688144329896907
2% Reduced Fat Organic Milk,1298,3821,3821,0.6602983512169589
"Milk, Organic, Vitamin D",851,2505,2505,0.6602794411177645
Organic Reduced Fat 2% Milk,3055,8955,8955,0.6588498045784478
Organic Simply Naked Pita Chips,1340,3902,3902,0.6565863659661711
Organic Skim Milk with DHA Omega-3,323,936,936,0.6549145299145299
0% Fat Free Organic Milk,311,884,884,0.6481900452488688
Organic Iced Green Tea,327,922,922,0.6453362255965293
Organic Lowfat 1% Milk,822,2305,2305,0.6433839479392625
Organic Whole Milk,8039,22428,22428,0.6415641162832174
Organic Reduced Fat Milk,1842,5081,5081,0.6374729383979532
Organic Multigrain Bread,458,1247,1247,0.6327185244587009
Organic Lactose Free 1% Lowfat Milk,433,1177,1177,0.6321155480033984
Organic String Cheese,442,1201,1201,0.6319733555370525
Enlightened Organic Raw Kombucha,470,1277,1277,0.6319498825371965
Organic Lemon Cayenne Sparkling Probiotic Drink,312,844,844,0.6303317535545023
Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,355,960,960,0.6302083333333334
Organic Chocolate 1% Milk with DHA Omega-3,239,640,640,0.6265625
Organic Raw Kombucha Gingerade,1583,4212,4212,0.6241690408357075
