product_name,users,orders,total_items,reorder_rate
Bag of Organic Bananas,23396,74988,74988,0.6880034138795541
Organic Baby Spinach,20614,48512,48512,0.5750742084432717
Organic Strawberries,20441,45417,45417,0.5499262390734747
Organic Avocado,15643,40162,40162,0.6105024650166825
Organic Hass Avocado,14037,31680,31680,0.5569128787878788
Organic Raspberries,9956,23580,23580,0.5777777777777777
Organic Blueberries,11709,23516,23516,0.5020836877019902
Organic Whole Milk,8039,22428,22428,0.6415641162832174
Organic Fuji Apple,7797,20545,20545,0.6204916037965442
Organic Garlic,11211,19046,19046,0.4113724666596661
Organic Zucchini,10004,18943,18943,0.4718893522673283
Organic Yellow Onion,10653,18742,18742,0.431597481592146
Organic Half & Half,5610,18418,18418,0.6954066673905962
Organic Baby Carrots,9142,17779,17779,0.4857978513977164
Organic Grape Tomatoes,9050,16217,16217,0.44194363939076275
Organic Baby Arugula,7363,14930,14930,0.5068318821165438
Organic Lemon,8148,14735,14735,0.4470308788598575
Organic Cucumber,7659,13672,13672,0.43980397893504974
Organic Cilantro,8233,13557,13557,0.3927122519731504
Organic Blackberries,6406,13493,13493,0.525235307196324
Michigan Organic Kale,6808,13352,13352,0.49011384062312763
Organic Red Onion,8060,13288,13288,0.3934376881396749
Organic Peeled Whole Baby Carrots,6637,13014,13014,0.4900107576456124
Apple Honeycrisp Organic,6533,12999,12999,0.49742287868297563
Organic Gala Apples,5717,11959,11959,0.5219499958190484
Organic Large Extra Fancy Fuji Apple,5271,11777,11777,0.5524327078203277
Organic Small Bunch Celery,7140,11555,11555,0.38208567719601905
Organic Tomato Cluster,6503,11519,11519,0.43545446653355324
Organic Granny Smith Apple,5174,10426,10426,0.5037406483790524
Organic Italian Parsley Bunch,6710,10309,10309,0.34911242603550297
Organic Unsweetened Almond Milk,4576,10012,10012,0.542948461845785
Organic Red Bell Pepper,5540,9572,9572,0.4212285833681571
Organic Whole String Cheese,4070,9298,9298,0.5622714562271456
Organic Reduced Fat 2% Milk,3055,8955,8955,0.6588498045784478
Organic Ginger Root,6185,8758,8758,0.2937885361954784
Organic Garnet Sweet Potato (Yam),5002,8238,8238,0.39281378975479486
Organic Spring Mix,3629,8103,8103,0.5521411822781686
Organic Grade A Free Range Large Brown Eggs,4030,8056,8056,0.4997517378351539
Organic Kiwi,4144,7986,7986,0.48109191084397696
Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,3043,7817,7817,0.6107202251503134
Organic Navel Orange,4227,7613,7613,0.44476553264153423
Organic D'Anjou Pears,4080,7399,7399,0.44857413163941073
Organic Carrot Bunch,4531,7340,7340,0.3826975476839237
Organic Black Beans,4633,7201,7201,0.3566171365088182
Organic Lacinato (Dinosaur) Kale,3802,7058,7058,0.46132048739019554
Organic 2% Reduced Fat Milk,1648,7036,7036,0.7657760090960773
Organic Broccoli,3599,6738,6738,0.46586524191154643
Organic Romaine Lettuce,3764,6348,6348,0.40705734089477
Organic Extra Firm Tofu,3206,6265,6265,0.488268156424581
Organic Garbanzo Beans,3865,5955,5955,0.3509655751469353
Organic Large Brown Grade AA Cage Free Eggs,2351,5930,5930,0.6035413153456999
Organic Broccoli Florets,3300,5761,5761,0.42718278076722793
Organic Banana,2893,5694,5694,0.49192132068844396
Organic Whole Strawberries,3498,5678,5678,0.38393800634026065
Organic Roasted Turkey Breast,2964,5568,5568,0.4676724137931034
Organic Grade A Large Brown Eggs,2652,5300,5300,0.499622641509434
Organic Baby Broccoli,3076,5245,5245,0.41353670162059103
Organic Fat Free Milk,1541,5202,5202,0.7037677816224529
Organic Coconut Milk,3627,5179,5179,0.2996717513033404
Organic Roma Tomato,2999,5150,5150,0.41766990291262135
Organic Russet Potato,3268,5096,5096,0.358712715855573
Organic Reduced Fat Milk,1842,5081,5081,0.6374729383979532
Organic Diced Tomatoes,3490,5063,5063,0.3106853644084535
Organic Basil,3501,5035,5035,0.30466732869910623
"Organic Red Radish, Bunch",2914,4989,4989,0.41591501302866307
Organic Sour Cream,3270,4959,4959,0.34059286146400486
Organic Tortilla Chips,2024,4957,4957,0.5916885212830341
Organic Bread with 21 Whole Grains,2146,4930,4930,0.5647058823529412
Frozen Organic Wild Blueberries,3146,4879,4879,0.3551957368313179
Organic Romaine,2788,4826,4826,0.4222958972233734
Organic Spring Mix Salad,2694,4603,4603,0.4147295242233326
Organic Heavy Whipping Cream,2779,4505,4505,0.38312985571587127
Organic Bartlett Pear,2556,4479,4479,0.4293369055592766
Organic Yams,2632,4437,4437,0.40680640072120805
Organic Mexican Blend Finely Shredded Cheese,2108,4338,4338,0.5140617796219455
Organic Large Grade AA Brown Eggs,1910,4307,4307,0.5565358718365452
Organic Celery Hearts,3008,4300,4300,0.30046511627906974
Organic Raw Kombucha Gingerade,1583,4212,4212,0.6241690408357075
Organic Milk,1593,4210,4210,0.6216152019002376
Organic White Onions,2513,4176,4176,0.398227969348659
Organic Bell Pepper,2496,4102,4102,0.3915163334958557
Organic Baby Rainbow Carrots,2335,4026,4026,0.42001987083954295
Organic Medium Salsa,2493,4008,4008,0.37799401197604793
Organic Egg Whites,1906,3989,3989,0.5221860115317122
Ezekiel 4:9 Bread Organic Sprouted Whole Grain,2207,3960,3960,0.44267676767676767
Organic Low Sodium Chicken Broth,2766,3927,3927,0.29564553093964857
Organic Tomato Paste,2997,3911,3911,0.23369982101764256
Organic Simply Naked Pita Chips,1340,3902,3902,0.6565863659661711
2% Reduced Fat Organic Milk,1298,3821,3821,0.6602983512169589
Organic Baby Spinach Salad,1760,3807,3807,0.5376937220908852
Organic Extra Virgin Olive Oil,2225,3743,3743,0.4055570398076409
Organic Thyme,2927,3716,3716,0.21232508073196987
Organic Tomato Basil Pasta Sauce,2501,3683,3683,0.3209340211783872
Organic Jalapeno Pepper,2405,3657,3657,0.3423571233251299
Organic Green Cabbage,2557,3615,3615,0.2926694329183956
Organic Butternut Squash,2706,3610,3610,0.25041551246537397
Organic Baby Kale,1977,3559,3559,0.44450688395616744
Organic American Cheese Singles,1670,3476,3476,0.5195627157652474
Organic Unsalted Butter,2460,3458,3458,0.28860613071139385
Organic Shredded Carrots,2145,3456,3456,0.3793402777777778
Organic Romaine Hearts,2061,3444,3444,0.40156794425087106
Organic Low Fat Milk,709,3432,3432,0.7934149184149184
Organic Leek,2397,3399,3399,0.294792586054722
Organic Hothouse Cucumbers,1999,3386,3386,0.40962787950383933
"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",1565,3375,3375,0.5362962962962963
Organic Old Fashioned Rolled Oats,2455,3368,3368,0.27108076009501186
Organic Creamy Peanut Butter,2261,3321,3321,0.31918096958747366
Organic Salted Butter,1902,3178,3178,0.40151038388923854
Organic Tomato Sauce,2290,3173,3173,0.27828553419476837
Organic Blue Corn Tortilla Chips,1821,3164,3164,0.4244627054361568
Organic Chicken Stock,1885,3125,3125,0.3968
Organic Frozen Peas,2135,3107,3107,0.3128419697457354
Organic Ketchup,2419,3081,3081,0.21486530347289842
Organic Bunny Fruit Snacks Berry Patch,1612,3067,3067,0.47440495598304533
Organic Mint,2136,3042,3042,0.2978303747534517
Organic Cripps Pink Apples,1556,3023,3023,0.48527952365200133
Organic Bosc Pear,1748,3022,3022,0.42157511581733953
Organic Summer Strawberry Bunny Fruit Snacks,1499,3008,3008,0.5016622340425532
Organic Green Seedless Grapes,1880,2910,2910,0.3539518900343643
Organic Brown Rice,1822,2891,2891,0.36976824628156346
Air Chilled Organic Boneless Skinless Chicken Breasts,1605,2887,2887,0.44405957741600277
Organic Spaghetti Squash,2071,2883,2883,0.2816510579257718
Vitamin D Organic Whole Milk,862,2874,2874,0.7000695894224078
Organic Iceberg Lettuce,1749,2846,2846,0.3854532677442024
Organic Rainbow Carrots,1972,2806,2806,0.2972202423378475
Organic Good Seed Bread,1144,2755,2755,0.5847549909255898
Organic Free Range Chicken Broth,1948,2750,2750,0.29163636363636364
Organic Large Grade A Brown Eggs,1130,2747,2747,0.5886421550782672
Organic Snipped Green Beans,1553,2722,2722,0.4294636296840558
Organic Roasted Sliced Chicken Breast,1500,2702,2702,0.4448556624722428
Organic Boneless Skinless Chicken Breast,1156,2698,2698,0.5715344699777613
Organic Cheese Frozen Pizza,1274,2696,2696,0.5274480712166172
Organic Whole Kernel Sweet Corn No Salt Added,1936,2693,2693,0.2810991459339027
Organic Green Leaf Lettuce,1538,2675,2675,0.4250467289719626
Organic Extra Large Grade AA Brown Eggs,1324,2638,2638,0.4981046247156937
Organic Whipped Naturally Buttery Spread,1738,2617,2617,0.3358807795185327
